sentence,prompt
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY .,"TL;DR , LEICESTERSHIRE is an organization entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , Hussain is a person entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , England is a location entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , Essex is an organization entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , 's one-day requirements "","" struck 158 "","" is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , 158 "","" his first is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , Hussain "","" considered surplus is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , reached 372 and took a first is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , season is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , and took a first innings is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , Yorkshire is an organization entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , Such is a person entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , turned is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , in 48 balls and leaving them is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , Such had scuttled their hopes "","" is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , off-spinner Such had scuttled is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Oval is a location entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Surrey is an organization entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Chris Lewis is a person entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , England is a location entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Warwickshire is an organization entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Oval "","" Surrey captain is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , with 80 is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Lewis "","" another man dumped by England "","" is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , his critics as he is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , 45 is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , followed his four for 45 on Thursday is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , his critics as he followed is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Surrey captain Chris Lewis "","" is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Surrey captain is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , four is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , England is a location entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , Mark Butcher is a person entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , Surrey is an organization entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , as Surrey closed on is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , Mark Butcher who made 70 is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , as Surrey closed on 429 is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , as Surrey closed on 429 for is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , was well backed by England hopeful Mark Butcher is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , England hopeful Mark is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , Derbyshire is an organization entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , Worcestershire is an organization entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , second is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , five in their second innings "","" is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , innings "","" still is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , the hunt for their first is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Australian is an other entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Tom Moody is a person entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Chris Adams is a person entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Tim O'Gorman is a person entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Derbyshire is an organization entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , to 471 and a is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , 109 is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , took six for 82 but is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , 471 is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , "","" 123 "","" and Tim O'Gorman "","" is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , lead of is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , innings lead of is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Tim is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , first innings lead of 233 is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , first innings lead of is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , Kent is an organization entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , Nottinghamshire is an organization entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , by the weather "","" Kent is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , 214 is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , of seeing is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , the frustration of seeing is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Paul Johnson is a person entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , ex-England is an other entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Martin McCague is a person entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , bowler Martin McCague took four for 55 is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Paul Johnson but ex-England fast bowler Martin is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , held up by a is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Martin McCague took is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , They were held up by a gritty 84 is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , ex-England fast bowler Martin McCague is not a named entity ."
By stumps Kent had reached 108 for three .,"TL;DR , Kent is an organization entity ."
By stumps Kent had reached 108 for three .,"TL;DR , By stumps Kent had is not a named entity ."
By stumps Kent had reached 108 for three .,"TL;DR , had reached 108 for three is not a named entity ."
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,"TL;DR , ENGLISH COUNTY CHAMPIONSHIP is an other entity ."
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,"TL;DR , ENGLISH COUNTY CHAMPIONSHIP SCORES is not a named entity ."
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,"TL;DR , CRICKET - ENGLISH is not a named entity ."
LONDON 1996-08-30,"TL;DR , LONDON is a location entity ."
LONDON 1996-08-30,"TL;DR , 1996-08-30 is not a named entity ."
LONDON 1996-08-30,"TL;DR , LONDON 1996-08-30 is not a named entity ."
Result and close of play scores in English county championship matches on Friday :,"TL;DR , English is an other entity ."
Result and close of play scores in English county championship matches on Friday :,"TL;DR , Friday is not a named entity ."
Result and close of play scores in English county championship matches on Friday :,"TL;DR , scores in English county championship matches is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicester is a location entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicestershire is an organization entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Somerset is an organization entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicester : Leicestershire is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , and 39 is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , : is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , by an innings and 39 is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , beat Somerset is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , an is not a named entity ."
"Somerset 83 and 174 ( P. Simmons 4-38 ) "","" Leicestershire 296 .","TL;DR , Somerset is an organization entity ."
"Somerset 83 and 174 ( P. Simmons 4-38 ) "","" Leicestershire 296 .","TL;DR , P. Simmons is a person entity ."
"Somerset 83 and 174 ( P. Simmons 4-38 ) "","" Leicestershire 296 .","TL;DR , Leicestershire is an organization entity ."
