sentence,prompt
"Andrews Lock and Dam , Henry County , Ala. ;","TL;DR , Andrews Lock and Dam is a location entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , the Warren Commission that investigated President John F. is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , a House committee he is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , 's is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , a House is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , told a House committee he stood is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , 's assassination , told a House committee is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , President John F. Kennedy 's assassination is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , that assassin Lee Harvey Oswald had acted alone is not a named entity ."
"Ten years ago : Former President Gerald R. Ford , a member of the Warren Commission that investigated President John F. Kennedy 's assassination , told a House committee he stood by the commission 's basic finding that assassin Lee Harvey Oswald had acted alone .","TL;DR , by is not a named entity ."
"That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .","TL;DR , Marcio Nogueira Barbosa is a person entity ."
"That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .","TL;DR , INPE is an organization entity ."
"That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .","TL;DR , firms participating in is not a named entity ."
"That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .","TL;DR , years , is not a named entity ."
"That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .","TL;DR , next is not a named entity ."
"That financing will be used to pay the firms participating in the satellite program , with the funds to be released over the next two years , according to Marcio Nogueira Barbosa , director of the INPE .","TL;DR , the firms participating in is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , Guatemala City is a location entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , 2 Feb is an other entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , Ramiro de Leon Carpio is a person entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , 1 February is an other entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , tariffs to end is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , end the strike that businessmen in is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , businessmen in that sector is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , in that sector began on 1 February . is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , Text is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , -- Guatemalan is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , ) is not a named entity ."
"( Text ) Guatemala City , 2 Feb ( ACAN-EFE ) -- Guatemalan President Ramiro de Leon Carpio today offered a 10-percent adjustment of fuel transportation tariffs to end the strike that businessmen in that sector began on 1 February .","TL;DR , Leon Carpio today offered a 10-percent is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , Dole is a person entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , Southern is an other entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , North Carolina is a location entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , Elizabeth. is a person entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , of his wife is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , , the home state of is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , had pinned his Southern hopes is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , hopes on North Carolina , the is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , home state is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , Southern hopes is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , state of his wife , is not a named entity ."
"Dole had pinned his Southern hopes on North Carolina , the home state of his wife , Elizabeth. .","TL;DR , , Elizabeth. . is not a named entity ."
Deng Nan said : China has entered a stage in which its economy is developing rapidly .,"TL;DR , Deng Nan is a person entity ."
Deng Nan said : China has entered a stage in which its economy is developing rapidly .,"TL;DR , China is a location entity ."
Deng Nan said : China has entered a stage in which its economy is developing rapidly .,"TL;DR , : China has entered a stage in which is not a named entity ."
Deng Nan said : China has entered a stage in which its economy is developing rapidly .,"TL;DR , is developing rapidly is not a named entity ."
Deng Nan said : China has entered a stage in which its economy is developing rapidly .,"TL;DR , Deng Nan said is not a named entity ."
Deng Nan said : China has entered a stage in which its economy is developing rapidly .,"TL;DR , said : China has entered is not a named entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , Bangkok is a location entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , BANGKOK POST is an organization entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , 25 Jun 94 is an other entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , 1 is not a named entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , in English 25 Jun is not a named entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , Jun 94 pp 1 , is not a named entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , Jun 94 is not a named entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , English 25 Jun is not a named entity ."
"BK2506112994 Bangkok BANGKOK POST in English 25 Jun 94 pp 1 , 3","TL;DR , 25 Jun 94 pp 1 is not a named entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , Birand is a person entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , Germany is a location entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , German Government is an organization entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , has been created by the problems is not a named entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , , is not a named entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , "" the lastest situation on arms is not a named entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , the German is not a named entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , "" the lastest situation on is not a named entity ."
"Birand asserts that "" the lastest situation on arms supplies has been created by the problems in Germany 's domestic politics , "" and goes on to point out that the German Government faces elections this year .","TL;DR , and is not a named entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , John Wilkes Booth is a person entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , President Abraham Lincoln is a person entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , Bowling Green , Va. is a location entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , Lincoln , was surrounded is not a named entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , Abraham Lincoln , is not a named entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , John Wilkes Booth , is not a named entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , near Bowling Green , Va. , and is not a named entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , assassin of President Abraham is not a named entity ."
"In 1865 , John Wilkes Booth , the assassin of President Abraham Lincoln , was surrounded by federal troops near Bowling Green , Va. , and killed .","TL;DR , of is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , U.S. is a location entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , Mitch McConnell is a person entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , Louisville is a location entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , Higgins is a person entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , 1950s is an other entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , the nation 's highest honor , the Medal is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , 1950s , recommended he is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , who attended is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , U.S. Sen. Mitch McConnell , who attended church is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , given the nation 's highest is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , be is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , south is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , given the nation 's highest honor , the is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , with Higgins is not a named entity ."
"U.S. Sen. Mitch McConnell , who attended church in south Louisville with Higgins in the 1950s , recommended he be given the nation 's highest honor , the Medal of Honor.","TL;DR , who attended church in is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Holmes is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Fritz is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , President Kennedy is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Officer Tippit is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Dallas is a location entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Oswald is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Kennedy is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Rosetta Stone is a person entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , understanding the truth about the assassination. is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Kennedy assassination and is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , and the murder of Officer is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , and whose murder is really is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , about 45 minutes after the Kennedy assassination and is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , is really the Rosetta is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , the murder of President Kennedy and the is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , policeman who was is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , by Oswald about 45 minutes after the Kennedy is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , whose murder is really the Rosetta is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , is really is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Fritz in the investigation of the is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , investigation of the murder of is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , Kennedy assassination is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , President is not a named entity ."
"Holmes had been assisting Fritz in the investigation of the murder of President Kennedy and the murder of Officer Tippit , the Dallas policeman who was killed by Oswald about 45 minutes after the Kennedy assassination and whose murder is really the Rosetta Stone to understanding the truth about the assassination. ;","TL;DR , the investigation is not a named entity ."
"In 1809 , author Edgar Allan Poe was born in Boston .","TL;DR , Edgar Allan Poe is a person entity ."
"In 1809 , author Edgar Allan Poe was born in Boston .","TL;DR , Boston is a location entity ."
"In 1809 , author Edgar Allan Poe was born in Boston .","TL;DR , , is not a named entity ."
"In 1809 , author Edgar Allan Poe was born in Boston .","TL;DR , Edgar Allan Poe was born in Boston . is not a named entity ."
"In 1809 , author Edgar Allan Poe was born in Boston .","TL;DR , 1809 , author Edgar Allan Poe is not a named entity ."
"In 1809 , author Edgar Allan Poe was born in Boston .","TL;DR , Allan is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , FBI is an organization entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Environmental Protection Agency is an organization entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Rocky Flats is a location entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Colorado is a location entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Fernald is a location entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Ohio is a location entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , plant in is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , in Ohio this summer. is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , the Fernald uranium processing plant in Ohio is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , processing plant in Colorado and the Fernald is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , uranium processing plant in Ohio is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , of the is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Agents of the is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , of is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Fernald uranium processing plant in is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , plutonium processing plant in is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , Agency raided the is not a named entity ."
Agents of the FBI and the Environmental Protection Agency raided the Rocky Flats plutonium processing plant in Colorado and the Fernald uranium processing plant in Ohio this summer.,"TL;DR , of the FBI is not a named entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Army Reserve Center is a location entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Springfield is a location entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Mo. is a location entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Center , Springfield , Mo. ; is not a named entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Reserve Center is not a named entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , , Springfield , Mo. is not a named entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Reserve Center , Springfield is not a named entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , Center is not a named entity ."
"Army Reserve Center , Springfield , Mo. ;","TL;DR , , Springfield , Mo. ; is not a named entity ."
